bathrooms,bedrooms,ber,latitude,longitude,monthly_price,is_apartment
1.0,2.0,A2,53.283547693021575,-6.141765655933426,2394,True
1.0,1.0,A2,53.383219405850696,-6.148142682777035,2156,True
2.0,2.0,A2,53.383219405850696,-6.148142682777035,3514,True
2.0,2.0,SI_666,53.369579825765214,-6.199146638752495,2459,True
2.0,2.0,A2,53.33153694153853,-6.262075268577263,3250,True
2.0,2.0,A2,53.33153694153853,-6.262075268577263,3400,True
2.0,2.0,A2,53.33153694153853,-6.262075268577263,3450,True
2.0,2.0,A2,53.33153694153853,-6.262075268577263,3550,True
1.0,1.0,A2,53.286154845382896,-6.2083925936942705,2062,True
1.0,2.0,SI_666,53.286154845382896,-6.2083925936942705,2735,True
1.0,1.0,A2,53.34491432013698,-6.234331541665426,2550,True
2.0,2.0,A2,53.34491432013698,-6.234331541665426,2950,True
1.0,1.0,NA,53.33150408071734,-6.250512101021769,2350,True
2.0,2.0,A3,53.34653829423391,-6.306712307249143,2450,True
3.0,3.0,SI_666,53.34653829423391,-6.306712307249143,3260,True
,1.0,A3,53.260487207064614,-6.205046690830841,1729,True
1.0,1.0,A3,53.260487207064614,-6.205046690830841,2040,True
2.0,2.0,A3,53.260487207064614,-6.205046690830841,2550,True
1.0,1.0,A2,53.32019494293854,-6.278843825658839,2339,True
2.0,2.0,A2,53.32019494293854,-6.278843825658839,2800,True
1.0,1.0,A2,53.37975024704198,-6.400053296065096,1900,True
1.0,1.0,A2,53.37975024704198,-6.400053296065096,2100,True
2.0,2.0,A2,53.37975024704198,-6.400053296065096,2300,True
2.0,2.0,A2,53.37975024704198,-6.400053296065096,2500,True
,1.0,C1,53.35467964670633,-6.270111394533956,850,True
1.0,1.0,A1,53.283092857650104,-6.11039789422361,2298,True
2.0,2.0,A3,53.24962385357324,-6.158529635629975,2500,True
3.0,3.0,A3,53.24962385357324,-6.158529635629975,3050,True
2.0,3.0,A3,53.24962385357324,-6.158529635629975,3264,True
2.0,4.0,A3,53.24962385357324,-6.158529635629975,3700,True
1.0,1.0,A3,53.31921910968558,-6.27910494477058,2350,True
2.0,2.0,A3,53.31921910968558,-6.27910494477058,2850,True
1.0,2.0,A2,53.301741957156224,-6.1773827427130925,2780,True
2.0,3.0,A2,53.301741957156224,-6.1773827427130925,3595,True
3.0,3.0,A2,53.27976005820855,-6.140140988896064,2995,True
,1.0,NA,53.334852907856856,-6.254354526983634,1400,True
2.0,2.0,A2,53.345102326886746,-6.231381770856217,4000,True
1.0,1.0,A3,53.37636783909153,-6.321735928602834,1963,False
1.0,1.0,A3,53.281270163399796,-6.241268847487021,2142,True
2.0,2.0,A3,53.281270163399796,-6.241268847487021,2500,True
1.0,1.0,NA,53.345069122477526,-6.28327527622136,1217,True
1.0,1.0,A2,53.29418275132073,-6.223249307379092,2062,True
2.0,2.0,A2,53.29418275132073,-6.223249307379092,2678,True
2.0,2.0,A2,53.29418275132073,-6.223249307379092,3466,True
1.0,1.0,A3,53.324438920191795,-6.278253055065335,2146,True
2.0,2.0,A3,53.324438920191795,-6.278253055065335,2435,True
,1.0,B1,53.34868196066384,-6.243002782210652,1264,True
3.0,2.0,A3,53.33119050713489,-6.233099555768007,4000,True
3.0,3.0,A2,53.344888,-6.249378,4850,True
1.0,1.0,C2,53.345283,-6.263539,2500,True
1.0,1.0,SI_666,53.331377,-6.243564,2900,True
1.0,1.0,C3,53.32748,-6.253975,1875,True
1.0,2.0,C3,53.32879,-6.265832,2543,False
2.0,3.0,SI_666,53.335074032338,-6.2830394251606,3275,False
1.0,2.0,SI_666,53.332338,-6.27302,2500,True
,1.0,A2,53.366998,-6.267198,1650,False
2.0,2.0,F,53.350611,-6.284331,2500,False
2.0,2.0,SI_666,53.358078,-6.23813,2890,False
1.0,1.0,SI_666,53.345567,-6.264401,2300,True
2.0,2.0,B3,53.3455577,-6.2378696,3025,True
1.0,3.0,C3,53.344576908366,-6.2691917060437,3200,True
1.0,1.0,A1,53.370162,-6.232978,1900,True
1.0,2.0,D1,53.321618200445,-6.3973866775632,2100,True
2.0,2.0,D2,53.37785,-6.322668,2350,False
1.0,1.0,C3,53.322422,-6.265244,2300,True
1.0,2.0,C3,53.391686,-6.117261,2000,False
2.0,3.0,B1,53.279949,-6.316463,3800,True
1.0,1.0,SI_666,53.352466,-6.267909,2000,True
1.0,2.0,A2,53.387014,-6.391966,1850,True
1.0,2.0,D1,53.341449,-6.234468,2600,True
2.0,2.0,A2,53.269747,-6.148569,2400,True
1.0,1.0,D1,53.361173169995,-6.2589748284508,1800,True
1.0,1.0,SI_666,53.3120225,-6.2634397,1996,True
,1.0,SI_666,53.340738252048,-6.3042544110142,1495,False
3.0,2.0,C1,53.327677,-6.239377,3500,False
1.0,1.0,A2,53.340999,-6.247995,2950,True
1.0,1.0,A2,53.340999,-6.247995,2750,True
2.0,2.0,B3,53.286984,-6.23646,2300,True
1.0,2.0,B3,53.347783,-6.277016,2295,True
1.0,1.0,SI_666,53.324929,-6.267411,1575,True
1.0,1.0,SI_666,53.385978193128,-6.3842182345007,1400,True
2.0,2.0,A1,53.344462,-6.306636,2411,True
2.0,2.0,B2,53.371976787618,-6.3705896223073,2500,True
1.0,1.0,SI_666,53.33396315,-6.25165073,4200,True
4.0,4.0,B1,53.30934,-6.212247,4250,False
3.0,5.0,B3,53.273443,-6.242445,3250,False
2.0,2.0,B2,53.2776562,-6.2124918,2400,True
1.0,1.0,B3,53.344145944624,-6.236707034671,3385,True
1.0,2.0,C3,53.396545,-6.426228,2200,False
4.0,4.0,B3,53.376762,-6.242883,4500,True
1.0,1.0,C2,53.340022132234,-6.2542258544742,2300,True
1.0,1.0,C1,53.362870973349,-6.2726068302124,1650,True
1.0,2.0,SI_666,53.226672,-6.120668,2500,False
1.0,1.0,A1,53.331231,-6.263534,2652,True
2.0,5.0,,53.310816,-6.313649,3995,False
,1.0,D1,53.360744,-6.269889,1100,False
1.0,2.0,D1,53.319974,-6.265367,1992,True
1.0,2.0,SI_666,53.323664,-6.235982,2950,False
2.0,2.0,C1,53.351081,-6.248237,2850,True
1.0,2.0,SI_666,53.347974,-6.30361,2500,True
1.0,1.0,C3,53.349519,-6.245432,1950,True
1.0,1.0,D1,53.30297,-6.233898,1792,True
1.0,2.0,D1,53.392076,-6.227852,2500,True
1.0,3.0,F,53.383797,-6.238216,2500,True
1.0,2.0,C1,53.391941,-6.227202,2500,True
1.0,2.0,C2,53.377106,-6.311162,2500,True
1.0,1.0,D2,53.349762,-6.245022,1877,True
2.0,2.0,D1,53.339814,-6.233234,3500,False
2.0,3.0,C2,53.286695,-6.236953,3317,True
2.0,2.0,C2,53.334859,-6.274465,2649,True
1.0,1.0,SI_666,53.335903,-6.294969,1800,True
,1.0,SI_666,53.335903,-6.294969,1500,False
1.0,1.0,A3,53.408267,-6.159915,2100,True
1.0,1.0,SI_666,53.33952231913,-6.2739784434082,2500,True
2.0,2.0,B2,53.325798158962,-6.2443377306566,3200,True
1.0,1.0,SI_666,53.341750997891,-6.2970864772797,1700,True
1.0,2.0,SI_666,53.321447272,-6.206674315,2300,True
2.0,3.0,A2,53.34035,-6.287491,2700,True
1.0,1.0,SI_666,53.351747068675,-6.2661576517382,1900,True
1.0,1.0,B2,53.34427,-6.264443,1800,True
4.0,4.0,C1,53.392228,-6.42863,3500,False
1.0,1.0,C3,53.347158,-6.294364,2000,True
,1.0,SI_666,53.332410082047,-6.2678763377762,1320,False
1.0,2.0,SI_666,53.341734,-6.230067,2600,True
1.0,3.0,C3,53.338934,-6.279206,3300,True
1.0,3.0,SI_666,53.322923,-6.235269,3350,False
1.0,1.0,B3,53.364894707056,-6.2267550367478,1695,True
1.0,2.0,A3,53.356708278382,-6.2590250012088,2480,True
1.0,1.0,SI_666,53.374850521619,-6.3210065174261,1700,True
2.0,2.0,C1,53.291151,-6.189376,2700,True
